Time,X,Y,Treatment
0,80,85,Treatment
0.1,82,88,Treatment
0.2,85,92,Treatment
0.3,90,95,Treatment
0.4,95,100,Treatment
0.5,100,105,Treatment
0.6,105,100,Treatment
0.7,110,95,Treatment
0.8,112,90,Treatment
0.9,115,85,Treatment
1.0,117,83,Treatment
1.1,118,80,Treatment
1.2,115,78,Treatment
1.3,112,75,Treatment
1.4,108,72,Treatment
1.5,103,70,Treatment
1.6,100,68,Treatment
1.7,98,65,Treatment
1.8,95,62,Treatment
1.9,92,60,Treatment
2.0,90,58,Treatment
2.1,88,55,Treatment
2.2,85,52,Treatment
2.3,82,50,Treatment
2.4,80,48,Treatment
2.5,78,45,Treatment
2.6,75,42,Treatment
2.7,72,40,Treatment
2.8,70,38,Treatment
2.9,68,35,Treatment
3.0,65,32,Treatment
