time,x,y,individual,treatment
0,80,30,1,Treatment
1,85,35,1,Treatment
2,90,40,1,Treatment
3,95,45,1,Treatment
4,100,50,1,Treatment
5,105,55,1,Treatment
6,110,60,1,Treatment
7,115,65,1,Treatment
8,120,70,1,Treatment
9,125,75,1,Treatment
10,130,80,1,Treatment
11,135,85,1,Treatment
12,140,90,1,Treatment
13,145,95,1,Treatment
14,150,100,1,Treatment
15,155,105,1,Treatment
16,160,110,1,Treatment
17,165,115,1,Treatment
18,170,120,1,Treatment
19,175,125,1,Treatment
20,180,130,1,Treatment
21,185,135,1,Treatment
22,190,140,1,Treatment
23,195,145,1,Treatment
24,200,150,1,Treatment
25,205,155,1,Treatment
26,210,160,1,Treatment
27,215,165,1,Treatment
28,220,170,1,Treatment
29,225,175,1,Treatment
30,230,180,1,Treatment
0,20,35,2,Treatment
1,25,40,2,Treatment
2,30,45,2,Treatment
3,35,50,2,Treatment
4,40,55,2,Treatment
5,45,60,2,Treatment
6,50,65,2,Treatment
7,55,70,2,Treatment
8,60,75,2,Treatment
9,65,80,2,Treatment
10,70,85,2,Treatment
11,75,90,2,Treatment
12,80,95,2,Treatment
13,85,100,2,Treatment
14,90,105,2,Treatment
15,95,110,2,Treatment
16,100,115,2,Treatment
17,105,120,2,Treatment
18,110,125,2,Treatment
19,115,130,2,Treatment
20,120,135,2,Treatment
21,125,140,2,Treatment
22,130,145,2,Treatment
23,135,150,2,Treatment
24,140,155,2,Treatment
25,145,160,2,Treatment
26,150,165,2,Treatment
27,155,170,2,Treatment
28,160,175,2,Treatment
29,165,180,2,Treatment
30,170,185,2,Treatment
