"time","x","y","Individual","Group"
0,52.95,5.78,0,"Group_37_3"
0.08,52.95,5.78,0,"Group_37_3"
0.14,53.39,5.56,0,"Group_37_3"
0.24,53.61,6.67,0,"Group_37_3"
0.34,54.06,6.9,0,"Group_37_3"
0.44,53.84,6.45,0,"Group_37_3"
0.54,53.61,6.67,0,"Group_37_3"
0.64,54.06,6.45,0,"Group_37_3"
0.74,53.61,5.78,0,"Group_37_3"
0.84,53.84,5.56,0,"Group_37_3"
0.94,54.28,6.67,0,"Group_37_3"
1.04,54.5,6.67,0,"Group_37_3"
1.14,54.5,6.9,0,"Group_37_3"
1.24,54.95,7.12,0,"Group_37_3"
1.34,54.95,7.12,0,"Group_37_3"
1.44,55.39,7.56,0,"Group_37_3"
1.54,55.39,7.79,0,"Group_37_3"
1.64,55.62,7.56,0,"Group_37_3"
1.74,55.84,7.56,0,"Group_37_3"
1.84,56.28,6.67,0,"Group_37_3"
1.94,56.95,6.9,0,"Group_37_3"
2.04,57.4,7.12,0,"Group_37_3"
2.14,58.29,7.79,0,"Group_37_3"
2.24,59.4,7.56,0,"Group_37_3"
2.34,60.29,7.79,0,"Group_37_3"
2.44,61.4,8.23,0,"Group_37_3"
2.54,62.96,8.45,0,"Group_37_3"
2.64,64.51,9.12,0,"Group_37_3"
2.74,65.63,10.23,0,"Group_37_3"
2.84,66.96,10.9,0,"Group_37_3"
2.94,67.63,12.24,0,"Group_37_3"
3.04,67.41,13.79,0,"Group_37_3"
3.14,66.74,15.13,0,"Group_37_3"
3.24,65.63,16.24,0,"Group_37_3"
3.34,64.29,16.02,0,"Group_37_3"
3.44,62.73,15.57,0,"Group_37_3"
3.54,61.18,14.68,0,"Group_37_3"
3.64,59.84,12.9,0,"Group_37_3"
3.74,58.73,10.9,0,"Group_37_3"
3.84,57.84,8.9,0,"Group_37_3"
3.94,57.17,6.9,0,"Group_37_3"
4.04,56.95,6.23,0,"Group_37_3"
4.14,56.95,6.45,0,"Group_37_3"
4.24,56.95,7.12,0,"Group_37_3"
4.34,57.17,7.34,0,"Group_37_3"
4.44,57.17,7.79,0,"Group_37_3"
4.54,56.95,8.01,0,"Group_37_3"
4.64,56.51,8.01,0,"Group_37_3"
4.74,56.06,8.01,0,"Group_37_3"
4.84,55.62,8.23,0,"Group_37_3"
4.94,55.17,8.45,0,"Group_37_3"
5.04,54.95,7.79,0,"Group_37_3"
5.14,54.5,7.79,0,"Group_37_3"
5.24,54.5,7.56,0,"Group_37_3"
5.34,54.5,7.56,0,"Group_37_3"
5.44,54.06,7.34,0,"Group_37_3"
5.54,54.06,7.12,0,"Group_37_3"
5.64,54.5,6.67,0,"Group_37_3"
5.74,54.95,6.45,0,"Group_37_3"
5.84,56.06,5.78,0,"Group_37_3"
5.94,57.4,6.01,0,"Group_37_3"
6.04,59.18,7.12,0,"Group_37_3"
6.14,60.73,8.68,0,"Group_37_3"
6.24,62.51,10.46,0,"Group_37_3"
6.34,64.29,12.68,0,"Group_37_3"
6.44,65.63,15.35,0,"Group_37_3"
6.54,67.18,17.8,0,"Group_37_3"
6.64,68.74,20.02,0,"Group_37_3"
6.74,70.3,22.47,0,"Group_37_3"
6.84,70.74,24.92,0,"Group_37_3"
6.94,70.3,26.92,0,"Group_37_3"
7.04,68.96,28.48,0,"Group_37_3"
