"time","x","y","Individual","Group"
0,53.39,97.22,0,"Group_31_2"
0.09,52.95,96.99,0,"Group_31_2"
0.19,51.83,97.44,0,"Group_31_2"
0.29,51.61,98.11,0,"Group_31_2"
0.39,52.72,98.55,0,"Group_31_2"
0.49,52.95,98.77,0,"Group_31_2"
0.59,53.39,98.55,0,"Group_31_2"
0.69,53.39,98.77,0,"Group_31_2"
0.79,54.06,99.22,0,"Group_31_2"
0.89,54.28,99.22,0,"Group_31_2"
0.99,54.95,99.44,0,"Group_31_2"
1.09,55.62,99.66,0,"Group_31_2"
1.19,56.51,99.89,0,"Group_31_2"
1.29,57.84,100.55,0,"Group_31_2"
1.39,59.18,100.55,0,"Group_31_2"
1.49,60.51,99.66,0,"Group_31_2"
1.59,61.84,98.55,0,"Group_31_2"
1.69,63.18,96.77,0,"Group_31_2"
1.79,62.96,95.44,0,"Group_31_2"
1.89,62.29,94.32,0,"Group_31_2"
1.99,61.62,93.88,0,"Group_31_2"
2.09,61.18,94.1,0,"Group_31_2"
2.19,60.29,94.55,0,"Group_31_2"
2.29,59.4,95.21,0,"Group_31_2"
2.39,59.18,96.77,0,"Group_31_2"
2.49,58.95,97.88,0,"Group_31_2"
2.59,58.73,99.22,0,"Group_31_2"
2.69,58.73,99.66,0,"Group_31_2"
2.79,58.95,99.66,0,"Group_31_2"
2.89,59.4,99.44,0,"Group_31_2"
2.99,59.18,98.33,0,"Group_31_2"
3.09,58.95,98.33,0,"Group_31_2"
3.19,58.51,98.55,0,"Group_31_2"
3.29,58.29,98.33,0,"Group_31_2"
3.39,58.06,99,0,"Group_31_2"
3.49,57.4,99.44,0,"Group_31_2"
3.59,56.73,100.11,0,"Group_31_2"
3.69,56.06,100.55,0,"Group_31_2"
3.79,55.39,100.78,0,"Group_31_2"
3.89,54.95,100.55,0,"Group_31_2"
3.99,54.06,100.33,0,"Group_31_2"
4.09,53.61,99.44,0,"Group_31_2"
4.19,53.17,99,0,"Group_31_2"
4.29,53.17,99,0,"Group_31_2"
4.39,52.95,99,0,"Group_31_2"
4.49,52.72,99,0,"Group_31_2"
4.59,52.72,99.22,0,"Group_31_2"
4.69,52.72,99.66,0,"Group_31_2"
4.79,52.5,100.11,0,"Group_31_2"
4.89,52.06,101,0,"Group_31_2"
4.99,51.61,101.22,0,"Group_31_2"
5.09,52.28,99.89,0,"Group_31_2"
5.19,52.28,99.89,0,"Group_31_2"
5.29,52.28,99.66,0,"Group_31_2"
5.39,51.83,100.55,0,"Group_31_2"
5.49,52.28,100.78,0,"Group_31_2"
5.59,52.06,99.22,0,"Group_31_2"
5.69,52.06,99.22,0,"Group_31_2"
5.79,52.06,99.22,0,"Group_31_2"
5.89,52.06,99.44,0,"Group_31_2"
5.99,51.17,100.11,0,"Group_31_2"
6.09,50.5,100.11,0,"Group_31_2"
6.19,48.72,100.78,0,"Group_31_2"
6.29,47.16,100.33,0,"Group_31_2"
6.39,45.61,99.89,0,"Group_31_2"
6.49,43.83,98.33,0,"Group_31_2"
6.59,41.6,97.22,0,"Group_31_2"
6.69,40.04,95.21,0,"Group_31_2"
6.79,39.15,94.1,0,"Group_31_2"
6.89,39.6,92.32,0,"Group_31_2"
6.99,40.27,91.21,0,"Group_31_2"
7.09,41.82,90.54,0,"Group_31_2"
7.19,43.38,90.77,0,"Group_31_2"
7.29,44.94,91.43,0,"Group_31_2"
7.39,46.49,92.54,0,"Group_31_2"
7.49,47.83,94.55,0,"Group_31_2"
7.59,48.94,96.55,0,"Group_31_2"
7.69,49.61,98.77,0,"Group_31_2"
7.79,50.28,100.33,0,"Group_31_2"
7.89,50.5,101.44,0,"Group_31_2"
7.99,50.72,101.22,0,"Group_31_2"
8.09,50.94,101,0,"Group_31_2"
8.19,50.72,99.66,0,"Group_31_2"
8.29,50.94,99.89,0,"Group_31_2"
8.39,51.17,100.11,0,"Group_31_2"
8.49,51.39,100.55,0,"Group_31_2"
8.59,51.39,100.11,0,"Group_31_2"
8.69,51.61,99.66,0,"Group_31_2"
8.79,52.06,99.66,0,"Group_31_2"
8.89,52.5,99.89,0,"Group_31_2"
8.99,53.39,100.55,0,"Group_31_2"
9.09,54.73,101.44,0,"Group_31_2"
9.19,56.06,101.22,0,"Group_31_2"
9.29,58.06,100.55,0,"Group_31_2"
9.39,59.4,99.22,0,"Group_31_2"
9.49,61.18,98.33,0,"Group_31_2"
9.59,63.62,96.99,0,"Group_31_2"
9.69,65.63,96.1,0,"Group_31_2"
9.79,67.85,95.44,0,"Group_31_2"
9.89,70.52,94.77,0,"Group_31_2"
9.99,72.52,94.77,0,"Group_31_2"
10.09,74.3,95.21,0,"Group_31_2"
10.19,75.86,95.66,0,"Group_31_2"
10.29,76.75,95.66,0,"Group_31_2"
10.39,76.53,95.66,0,"Group_31_2"
10.49,76.53,95.88,0,"Group_31_2"
10.59,76.08,95.44,0,"Group_31_2"
10.69,75.42,94.77,0,"Group_31_2"
10.79,75.42,93.88,0,"Group_31_2"
10.89,75.42,92.32,0,"Group_31_2"
10.99,75.42,91.88,0,"Group_31_2"
11.09,75.42,90.77,0,"Group_31_2"
11.19,75.42,89.65,0,"Group_31_2"
11.29,74.53,88.54,0,"Group_31_2"
11.39,73.64,87.65,0,"Group_31_2"
11.49,72.3,86.54,0,"Group_31_2"
11.59,70.74,85.65,0,"Group_31_2"
11.69,68.96,84.54,0,"Group_31_2"
11.79,67.18,83.2,0,"Group_31_2"
11.89,65.18,82.31,0,"Group_31_2"
11.99,62.96,81.64,0,"Group_31_2"
12.09,60.51,81.42,0,"Group_31_2"
12.19,58.51,81.64,0,"Group_31_2"
12.29,57.17,82.53,0,"Group_31_2"
12.39,55.84,83.87,0,"Group_31_2"
12.49,54.73,85.43,0,"Group_31_2"
12.59,54.28,87.65,0,"Group_31_2"
12.69,53.61,89.88,0,"Group_31_2"
12.79,52.95,92.1,0,"Group_31_2"
12.89,52.28,94.55,0,"Group_31_2"
12.99,52.06,96.99,0,"Group_31_2"
13.09,51.17,99.44,0,"Group_31_2"
13.19,50.94,101.22,0,"Group_31_2"
13.29,50.94,101.89,0,"Group_31_2"
13.39,50.94,101.67,0,"Group_31_2"
13.49,50.5,101,0,"Group_31_2"
13.59,50.05,100.78,0,"Group_31_2"
13.69,50.05,100.78,0,"Group_31_2"
13.79,49.39,100.78,0,"Group_31_2"
13.89,49.16,101,0,"Group_31_2"
