Time (s),X,Y
0.52,106.13,112.53
0.63,106.67,109.87
0.74,106.67,108.8
0.85,107.72999999999999,107.2
0.96,108.8,105.6
1.07,108.8,105.07000000000001
1.18,109.33,104
1.3,109.33,101.87
1.4,108.8,100.8
1.51,108.27000000000001,98.13
1.62,107.72999999999999,97.07000000000001
1.72,107.2,94.4
1.83,107.2,91.2
1.94,107.2,90.13
2.05,107.2,86.92999999999999
2.16,107.2,84.8
2.27,107.2,83.72999999999999
2.38,107.2,81.07000000000001
2.49,107.72999999999999,79.47
2.6,107.72999999999999,76.8
2.71,107.2,74.67
2.83,106.67,74.13
2.94,105.6,72
3.05,104.53,69.87
3.16,104,67.72999999999999
3.27,103.47,66.67
3.38,102.92999999999999,64
3.49,102.4,60.8
3.61,101.87,59.2
3.71,101.33,57.07000000000001
3.82,100.27000000000001,54.92999999999999
3.93,99.2,53.870000000000005
4.04,97.07000000000001,51.73
4.15,96.53,50.67
4.27,94.4,48.53
4.38,92.27000000000001,45.87
4.49,91.2,44.8
4.6,89.07000000000001,42.13
4.71,86.92999999999999,40
4.82,85.87,38.4
4.93,83.72999999999999,36.269999999999996
5.04,82.13,34.67
5.15,80.53,33.07
5.26,80,32.53
5.37,78.4,31.47
5.48,77.87,31.47
5.59,76.8,31.47
5.7,75.2,32
5.81,74.13,32
5.92,73.07000000000001,32.53
6.03,72,33.07
6.14,71.47,33.6
6.24,70.92999999999999,34.67
6.36,70.4,35.730000000000004
6.47,70.4,36.269999999999996
6.59,70.4,36.8
6.7,70.92999999999999,37.33
6.8,71.47,37.87
6.92,72,38.93
7.02,72.53,39.47
7.13,73.6,40.53
7.23,74.67,41.6
7.34,75.2,41.6
7.45,76.27000000000001,42.13
7.56,76.27000000000001,42.13
7.68,77.33,42.13
7.78,77.87,42.13
7.89,78.92999999999999,42.13
8,79.47,42.13
8.11,80.53,42.13
8.22,81.07000000000001,41.6
8.33,82.13,41.6
8.43,82.67,41.6
8.54,83.2,41.6
