"Time","X","Y","Treatment","Subject"
0,138.603117200426,61.1514355694466,"Control","Control_1"
0.302013422818792,142.147458678889,60.8890635124379,"Control","Control_1"
0.604026845637584,145.39738919364,61.7434608691731,"Control","Control_1"
0.906040268456376,141.646365003739,60.1629409004543,"Control","Control_1"
1.20805369127517,145.489691170825,61.965344735073,"Control","Control_1"
1.51006711409396,149.207022270996,61.425087710254,"Control","Control_1"
1.81208053691275,152.255564200386,63.6847690797334,"Control","Control_1"
2.11409395973154,151.785787709829,66.9886519398986,"Control","Control_1"
2.41610738255034,154.66764457974,69.0390200994158,"Control","Control_1"
2.71812080536913,150.416856206976,68.9537170631617,"Control","Control_1"
3.02013422818792,154.827705206239,67.5615446214671,"Control","Control_1"
3.32214765100671,151.18705280099,70.7122760108645,"Control","Control_1"
3.6241610738255,153.824939910229,74.2597310864174,"Control","Control_1"
3.9261744966443,154.303300348206,71.6338048374716,"Control","Control_1"
4.22818791946309,154.814157789138,67.6999789929271,"Control","Control_1"
4.53020134228188,155.103177564405,63.1671360915145,"Control","Control_1"
4.83221476510067,155.018489628157,65.1057737421727,"Control","Control_1"
5.13422818791946,150.804422349948,64.5215260826595,"Control","Control_1"
5.43624161073826,154.57750438023,65.5139009091148,"Control","Control_1"
5.73825503355705,153.951293732727,69.0698414338857,"Control","Control_1"
6.04026845637584,153.672427495269,64.4413747950337,"Control","Control_1"
6.34228187919463,149.55089119832,63.4014397003291,"Control","Control_1"
6.64429530201342,153.527772986725,63.5545155537552,"Control","Control_1"
6.94630872483221,152.604733207693,66.7602968729146,"Control","Control_1"
7.24832214765101,151.608857015409,63.3036142504981,"Control","Control_1"
7.5503355704698,147.626217595913,62.617443979973,"Control","Control_1"
7.85234899328859,144.189009063991,64.3252263476014,"Control","Control_1"
8.15436241610738,141.255062117834,66.4480228029276,"Control","Control_1"
8.45637583892617,142.54828882218,63.2177424871611,"Control","Control_1"
8.75838926174497,145.695068711445,64.1526305434827,"Control","Control_1"
9.06040268456376,148.099193679309,65.6266769927659,"Control","Control_1"
9.36241610738255,150.474733129345,62.6028118321401,"Control","Control_1"
9.66442953020134,153.458819123395,62.7780306947776,"Control","Control_1"
9.96644295302013,153.005340936774,58.5484217815442,"Control","Control_1"
10.2684563758389,148.77384896483,57.9256426772636,"Control","Control_1"
10.5704697986577,146.175434185089,60.4239399272269,"Control","Control_1"
10.8724832214765,142.751011907341,58.8241179243467,"Control","Control_1"
11.1744966442953,142.669113327552,55.1153035381622,"Control","Control_1"
11.4765100671141,143.320854205258,58.1714609253805,"Control","Control_1"
11.7785234899329,143.794794438592,55.2285701059861,"Control","Control_1"
12.0805369127517,140.435526584345,53.8968712616138,"Control","Control_1"
